Index,Symbol,Action Type,Order Type,Total Qty.,Qty. Filled,Qty. Remaining,Price,Stop Price,Limit Price,Created Date/Time (E),Update Date/Time (E)
344,MNMD,Buy,Market,640,640,0,10.42,0,0,3/21/2024 9:34,3/21/2024 9:35
347,CLS,Buy,Market,145,145,0,45.8,0,0,3/21/2024 9:57,3/21/2024 9:58
350,SOUN,Sell,Market,509,509,0,6.29,0,0,3/22/2024 9:31,3/22/2024 9:32
351,CRDF,Buy,Market,1231,1231,0,5.4,0,0,3/22/2024 9:50,3/22/2024 9:51
354,ADMA,Buy,Market,1034,1034,0,6.48,0,0,3/25/2024 9:51,3/25/2024 9:52
357,RNA,Sell,Market,225,225,0,23.6,0,0,3/26/2024 9:31,3/26/2024 9:32
358,VKTX,Buy,Market,81,81,0,81.98,0,0,3/26/2024 9:34,3/26/2024 9:35
359,VKTX,Sell,Stop,81,81,0,75.02,75.02,0,3/26/2024 9:35,4/2/2024 9:41
361,PACK,Buy,Market,848,848,0,7.9,0,0,3/26/2024 9:48,3/26/2024 9:49
364,DELL,Buy,Market,57,57,0,115.8,0,0,3/26/2024 9:50,3/26/2024 9:51
365,DELL,Sell,Stop,57,57,0,111.38,111.38,0,3/26/2024 9:51,3/27/2024 10:03
367,KRYS,Buy,Market,38,38,0,174.98,0,0,3/26/2024 14:00,3/26/2024 14:02
370,HIMS,Sell,Market,440,440,0,15.81,0,0,3/28/2024 9:31,3/28/2024 9:32
371,LQDA,Sell,Market,230,230,0,15.03,0,0,3/28/2024 9:31,3/28/2024 9:32
372,MNMD,Sell,Market,640,640,0,9.43,0,0,3/28/2024 9:31,3/28/2024 9:32
373,TARS,Buy,Market,184,184,0,35.56,0,0,3/28/2024 10:40,3/28/2024 10:41
376,MAX,Buy,Market,319,319,0,20.6,0,0,3/28/2024 11:53,3/28/2024 11:54
377,MAX,Sell,Stop,319,319,0,19.77,19.87,0,3/28/2024 11:54,4/2/2024 9:31
379,BMA,Sell,Market,79,79,0,48.57,0,0,4/1/2024 9:31,4/1/2024 9:32
380,APP,Sell,Market,51,51,0,68.64,0,0,4/1/2024 9:31,4/1/2024 9:32
381,CLS,Sell,Market,145,145,0,45.27,0,0,4/1/2024 9:31,4/1/2024 9:32
382,FDMT,Sell,Market,214,214,0,31.64,0,0,4/1/2024 9:31,4/1/2024 9:32
383,CVNA,Sell,Market,79,79,0,81.91,0,0,4/3/2024 9:31,4/3/2024 9:32
384,CRDF,Sell,Market,1231,1231,0,5.43,0,0,4/3/2024 9:31,4/3/2024 9:32
385,PACK,Sell,Market,848,848,0,7.6,0,0,4/3/2024 9:31,4/3/2024 9:32
386,ADMA,Sell,Market,1034,1034,0,6.42,0,0,4/4/2024 9:31,4/4/2024 9:32
387,TARS,Sell,Market,184,184,0,34.82,0,0,4/8/2024 9:31,4/8/2024 9:39
388,CRBP,Buy,Market,153,153,0,41.8,0,0,4/8/2024 9:35,4/8/2024 9:36
389,CRBP,Sell,Stop,153,153,0,38.29,38.29,0,4/8/2024 9:36,4/8/2024 10:04
391,KRYS,Sell,Market,38,38,0,178.01,0,0,4/11/2024 9:31,4/11/2024 9:43
392,TARS,Buy,Market,174,174,0,36.85,0,0,4/11/2024 11:16,4/11/2024 11:17
393,TARS,Sell,Stop,174,174,0,35.19,35.19,0,4/11/2024 11:17,4/12/2024 11:16
395,EVER,Buy,Market,327,327,0,19.58,0,0,4/12/2024 9:43,4/12/2024 9:44
396,EVER,Sell,Stop,327,327,0,18.62,18.62,0,4/12/2024 9:44,4/17/2024 12:46
398,CGEM,Buy,Market,319,319,0,20,0,0,4/16/2024 9:35,4/16/2024 9:36
399,CGEM,Sell,Stop,319,319,0,18.88,18.88,0,4/16/2024 9:36,4/16/2024 10:37
401,SMTC,Buy,Market,190,190,0,33.49,0,0,4/23/2024 10:00,4/23/2024 10:01
403,SMTC,Sell,Limit,95,95,0,39.29,0,39.28,4/23/2024 10:01,5/3/2024 9:31
404,OSCR,Buy,Market,371,371,0,17.12,0,0,4/23/2024 10:29,4/23/2024 10:30
406,OSCR,Sell,Limit,186,186,0,20.63,0,20.63,4/23/2024 10:30,5/8/2024 13:21
407,TMDX,Buy,Market,70,70,0,91.26,0,0,4/26/2024 9:39,4/26/2024 9:40
409,TMDX,Sell,Limit,35,35,0,110.08,0,105.84,4/26/2024 9:40,5/1/2024 9:31
410,MEG,Buy,Market,151,151,0,42.26,0,0,4/26/2024 9:54,4/26/2024 9:55
413,JANX,Buy,Market,126,126,0,50.66,0,0,4/29/2024 10:04,4/29/2024 10:05
415,JANX,Sell,Limit,63,63,0,60.04,0,60.04,4/29/2024 10:05,4/29/2024 15:26
416,EVER,Buy,Market,323,323,0,19.98,0,0,4/30/2024 9:40,4/30/2024 9:41
