Index,Symbol,Direction,Entry Price,Entry Date/Time (E),Exit Date/Time (E),Status,Current Price,Exit Price,Entry Qty,Qty,SL,TP,Exit Qty,Change,Change %,Ticks/Pips,Account PnL,PnL,PnL %,MFE,MAE
70,TARS,Long,32.56,2/26/2024 11:15,3/8/2024 9:33,Closed,0,36.02,177,0,0,0,177,3,9.21,300,611.96,611.96,10.62,7.84,-0.06
71,PLTR,Long,24.25,2/27/2024 9:34,3/4/2024 10:00,Closed,0,23.72,252,0,0,0,252,-0.53,-2.19,-53,-133.56,-133.56,-2.19,1.44,-0.53
72,GCT,Long,35.81,2/27/2024 10:17,2/28/2024 9:48,Closed,0,33.75,169,0,0,0,169,-2.06,-5.75,-206,-348.14,-348.14,-5.75,0.33,-2.06
73,CRSP,Long,88.37,2/27/2024 12:17,2/29/2024 11:02,Closed,0,84.66,69,0,0,0,69,-3.71,-4.2,-371,-255.99,-255.99,-4.2,2.25,-3.71
74,TREE,Long,35.54,2/28/2024 9:44,3/15/2024 9:32,Closed,0,39.96,176,0,0,0,176,2.44,6.87,244,777.92,777.92,12.44,8.97,-1.38
75,CGEM,Long,18.52,2/28/2024 9:45,2/28/2024 12:59,Closed,0,17.93,337,0,0,0,337,-0.59,-3.19,-59,-198.83,-198.83,-3.19,0.82,-0.59
76,MGNX,Long,18.54,2/29/2024 13:29,3/8/2024 13:13,Closed,0,17.64,333,0,0,0,333,-0.9,-4.85,-90,-299.7,-299.7,-4.85,3.34,-0.9
77,ARVN,Long,49.6,3/1/2024 9:53,3/4/2024 15:36,Closed,0,46.5,126,0,0,0,126,-3.1,-6.25,-310,-390.6,-390.6,-6.25,1.91,-3.1
78,BHVN,Long,49.83,3/1/2024 10:07,3/15/2024 9:32,Closed,0,57.34,126,0,0,0,126,7.34,14.73,734,945.63,945.63,15.06,12.38,-0.32
79,FROG,Long,45.12,3/1/2024 10:18,3/4/2024 9:58,Closed,0,43.85,140,0,0,0,140,-1.27,-2.81,-127,-177.8,-177.8,-2.81,0.28,-1.27
80,ASPN,Long,18.57,3/1/2024 11:46,3/4/2024 11:41,Closed,0,17.2,340,0,0,0,340,-1.37,-7.38,-137,-465.8,-465.8,-7.38,0.15,-1.37
81,HIMS,Long,13.73,3/4/2024 9:41,3/6/2024 9:31,Closed,0,13.34,462,0,0,0,462,-0.39,-2.84,-39,-180.18,-180.18,-2.84,1.16,-0.39
82,BLZE,Long,11.84,3/6/2024 9:35,3/11/2024 9:33,Closed,0,11.17,539,0,0,0,539,-0.67,-5.66,-67,-361.13,-361.13,-5.66,0.81,-0.67
83,PLTR,Long,26.15,3/6/2024 9:45,3/6/2024 9:58,Closed,0,25.16,243,0,0,0,243,-0.99,-3.79,-99,-240.57,-240.57,-3.79,0.15,-0.99
84,IMNM,Long,26.41,3/6/2024 9:50,3/6/2024 11:28,Closed,0,25.4,240,0,0,0,240,-1.01,-3.82,-101,-242.4,-242.4,-3.82,0.05,-1.01
85,PLTR,Long,25.99,3/6/2024 11:13,3/12/2024 13:03,Closed,0,24.53,245,0,0,0,245,-1.46,-5.62,-146,-357.7,-357.7,-5.62,1.51,-1.46
86,MAX,Long,22.56,3/7/2024 9:34,3/7/2024 9:47,Closed,0,21.43,281,0,0,0,281,-1.13,-5.01,-113,-317.53,-317.53,-5.01,0.08,-1.13
87,CVNA,Long,87.36,3/8/2024 9:34,3/8/2024 9:35,Closed,0,85.53,72,0,0,0,72,-1.83,-2.09,-183,-131.76,-131.76,-2.09,0,-1.83
88,CVNA,Long,87.24,3/8/2024 9:38,3/8/2024 13:05,Closed,0,84.8,72,0,0,0,72,-2.44,-2.8,-244,-175.68,-175.68,-2.8,3.24,-2.44
89,SOUN,Long,6.39,3/12/2024 10:00,3/22/2024 9:32,Closed,0,7.92,974,0,0,0,974,-0.1,-1.56,-10,1490.22,1490.22,23.94,3.86,-0.3
90,KRYS,Long,177.26,3/12/2024 11:43,3/18/2024 9:37,Closed,0,168.02,35,0,0,0,35,-9.24,-5.21,-924,-323.4,-323.4,-5.21,4.16,-9.24
91,BAND,Long,21.3,3/13/2024 9:34,3/13/2024 11:49,Closed,0,20.39,297,0,0,0,297,-0.91,-4.27,-91,-270.27,-270.27,-4.27,0.38,-0.91
92,ASPN,Long,18.5,3/13/2024 9:34,3/14/2024 9:31,Closed,0,17.42,340,0,0,0,340,-1.08,-5.84,-108,-367.2,-367.2,-5.84,0.51,-1.08
93,HIMS,Long,14.99,3/13/2024 9:40,3/28/2024 9:32,Closed,0,15.81,423,0,0,0,423,0.82,5.47,82,346.86,346.86,5.47,2.17,-0.91
94,BMA,Long,41.74,3/13/2024 10:26,4/1/2024 9:32,Closed,0,48.98,152,0,0,0,152,6.83,16.36,683,1100.48,1100.48,17.35,12.93,-0.74
95,LQDA,Long,14.4,3/13/2024 13:51,3/28/2024 9:32,Closed,0,15.71,440,0,0,0,440,0.63,4.37,63,578.6,578.6,9.13,2.59,-0.14
96,FDMT,Long,30.81,3/15/2024 9:50,4/1/2024 9:32,Closed,0,31.64,205,0,0,0,205,0.83,2.69,83,170.15,170.15,2.69,5.44,-1.58
97,ROOT,Long,48.41,3/15/2024 10:11,3/20/2024 9:31,Closed,0,43.5,130,0,0,0,130,-4.91,-10.14,-491,-638.3,-638.3,-10.14,12.17,-4.91
98,ATXS,Long,15.62,3/15/2024 10:43,3/20/2024 11:40,Closed,0,14.62,406,0,0,0,406,-1,-6.4,-100,-406,-406,-6.4,1.18,-1
99,APP,Long,64.7,3/18/2024 9:34,4/1/2024 9:32,Closed,0,70.08,98,0,0,0,98,3.94,6.09,394,527.24,527.24,8.32,9.85,-0.97
100,CVNA,Long,83.67,3/20/2024 9:55,4/3/2024 9:32,Closed,0,81.91,76,0,0,0,76,-1.76,-2.1,-176,-133.76,-133.76,-2.1,10.37,-2.33
101,MNMD,Long,10.42,3/21/2024 9:35,3/21/2024 9:36,Closed,0,10.02,616,0,0,0,616,-0.4,-3.84,-40,-246.4,-246.4,-3.84,0.03,-0.4
102,MNMD,Long,10.31,3/21/2024 9:41,3/21/2024 10:08,Closed,0,9.87,622,0,0,0,622,-0.44,-4.27,-44,-273.68,-273.68,-4.27,0.09,-0.44
103,CLS,Long,45.8,3/21/2024 9:58,3/27/2024 10:03,Closed,0,44.86,140,0,0,0,140,-0.94,-2.05,-94,-131.6,-131.6,-2.05,1.63,-0.94
104,CRDF,Long,5.4,3/22/2024 9:51,4/3/2024 9:32,Closed,0,5.43,1181,0,0,0,1181,0.03,0.56,3,35.43,35.43,0.56,1.02,-0.21
105,ADMA,Long,6.48,3/25/2024 9:52,4/3/2024 15:37,Closed,0,6.29,994,0,0,0,994,-0.19,-2.93,-19,-188.86,-188.86,-2.93,0.28,-0.19
106,VKTX,Long,81.98,3/26/2024 9:35,4/2/2024 9:33,Closed,0,76.92,78,0,0,0,78,-5.06,-6.17,-506,-394.68,-394.68,-6.17,7.12,-5.06
107,PACK,Long,7.9,3/26/2024 9:49,4/2/2024 9:33,Closed,0,7.65,813,0,0,0,813,-0.25,-3.16,-25,-203.25,-203.25,-3.16,0.37,-0.25
108,DELL,Long,115.8,3/26/2024 9:51,3/27/2024 9:55,Closed,0,113.25,55,0,0,0,55,-2.55,-2.2,-255,-140.25,-140.25,-2.2,1.05,-2.55
109,KRYS,Long,174.98,3/26/2024 14:02,4/11/2024 9:43,Closed,0,178.01,36,0,0,0,36,3.03,1.73,303,109.08,109.08,1.73,7.53,-3.86
110,TARS,Long,35.56,3/28/2024 10:41,4/8/2024 9:39,Closed,0,34.82,177,0,0,0,177,-0.74,-2.08,-74,-130.98,-130.98,-2.08,1.79,-1.23
111,MAX,Long,20.6,3/28/2024 11:54,4/1/2024 14:21,Closed,0,20.01,307,0,0,0,307,-0.59,-2.86,-59,-181.13,-181.13,-2.86,0.47,-0.59
112,CRBP,Long,41.8,4/8/2024 9:36,4/8/2024 9:44,Closed,0,40,147,0,0,0,147,-1.8,-4.31,-180,-264.6,-264.6,-4.31,0.2,-1.8
113,TARS,Long,36.85,4/11/2024 11:17,4/12/2024 11:16,Closed,0,35.55,168,0,0,0,168,-1.3,-3.53,-130,-218.4,-218.4,-3.53,1.61,-1.3
114,EVER,Long,19.58,4/12/2024 9:44,4/15/2024 12:39,Closed,0,19.03,316,0,0,0,316,-0.55,-2.81,-55,-173.8,-173.8,-2.81,0.49,-0.55
115,CGEM,Long,20,4/16/2024 9:36,4/16/2024 10:14,Closed,0,19.32,308,0,0,0,308,-0.68,-3.4,-68,-209.44,-209.44,-3.4,0.62,-0.68
116,EVER,Long,20.56,4/17/2024 9:38,4/17/2024 10:12,Closed,0,20.01,299,0,0,0,299,-0.55,-2.68,-55,-164.45,-164.45,-2.68,0.18,-0.55
117,SMTC,Long,33.49,4/23/2024 10:01,4/23/2024 11:45,Closed,0,32.14,183,0,0,0,183,-1.35,-4.03,-135,-247.05,-247.05,-4.03,0.43,-1.35
118,OSCR,Long,17.12,4/23/2024 10:30,5/23/2024 9:32,Closed,0,21.51,359,0,0,0,359,5.27,30.78,527,1575.13,1575.13,25.63,6.32,-0.35
119,TMDX,Long,91.26,4/26/2024 9:40,5/31/2024 9:32,Closed,0,124.29,67,0,0,0,67,47.68,52.25,4768,2213.32,2213.32,36.2,52.96,-1.17
120,MEG,Long,42.26,4/26/2024 9:55,5/8/2024 13:29,Closed,0,40.84,145,0,0,0,145,-1.42,-3.36,-142,-205.9,-205.9,-3.36,5.68,-1.42
121,JANX,Long,50.66,4/29/2024 10:05,5/9/2024 9:32,Closed,0,57.3,122,0,0,0,122,3.91,7.72,391,810.69,810.69,13.12,14.94,-0.13
122,EVER,Long,19.98,4/30/2024 9:41,5/24/2024 9:35,Closed,0,23.82,310,0,0,0,310,4.19,20.97,419,1191.95,1191.95,19.24,5.71,-0.16
123,RXST,Long,55.31,5/1/2024 14:16,5/14/2024 9:33,Closed,0,60.83,113,0,0,0,113,4.09,7.39,409,624.01,624.01,9.98,11.23,-0.47
124,CVNA,Long,88.61,5/1/2024 14:42,5/17/2024 9:32,Closed,0,119.05,71,0,0,0,71,29.52,33.31,2952,2161.44,2161.44,34.36,40.39,-2.38
125,FTAI,Long,74.4,5/2/2024 10:51,5/20/2024 9:34,Closed,0,78.48,86,0,0,0,86,4.08,5.48,408,350.88,350.88,5.48,7,-0.47
126,GOTU,Long,7.08,5/2/2024 11:11,5/21/2024 9:31,Closed,0,6.65,913,0,0,0,913,-0.43,-6.07,-43,-392.59,-392.59,-6.07,1.36,-0.43
127,MMYT,Long,69.55,5/2/2024 13:21,5/23/2024 9:32,Closed,0,79.14,92,0,0,0,92,10.14,14.58,1014,882.28,882.28,13.79,20.28,-0.33
128,APP,Long,74.24,5/3/2024 9:52,5/23/2024 9:32,Closed,0,82.69,87,0,0,0,87,6.77,9.12,677,735.07,735.07,11.38,14.26,-1.14
129,CAVA,Long,72.33,5/3/2024 10:47,5/24/2024 9:33,Closed,0,79.07,90,0,0,0,90,6.74,9.32,674,606.6,606.6,9.32,9.41,-1.57
130,MOD,Long,98,5/6/2024 9:55,5/20/2024 9:32,Closed,0,102.75,67,0,0,0,67,4.75,4.85,475,318.25,318.25,4.85,11.52,-0.2
131,DELL,Long,130.32,5/8/2024 9:58,6/3/2024 9:32,Closed,0,142.8,50,0,0,0,50,9.26,7.11,926,624.25,624.25,9.58,49.38,-1.72
132,RNA,Long,27.07,5/9/2024 12:09,5/10/2024 9:39,Closed,0,26.2,247,0,0,0,247,-0.87,-3.21,-87,-214.89,-214.89,-3.21,0.42,-0.87
